listing_id,brand,brand_tier,model,reference,year,watch_age_years,age_category,condition,price_aed,price_usd_approx,price_band,seller_type,is_dealer,location,scraped_date,source
C24-UAE-1000,Cartier,Luxury,Santos,REF-23434,1995,31,Vintage (20y+),Good,4900.0,1333.0,Entry (<10K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1001,Panerai,Luxury,Radiomir,REF-13478,1996,30,Vintage (20y+),Unworn,15900.0,4325.0,Mid (10K-30K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1002,Vacheron Constantin,Grand Complication,Traditionnelle,REF-10851,2017,9,Modern (6-10y),Very Good,74500.0,20264.0,Premium (30K-75K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1003,Vacheron Constantin,Grand Complication,Patrimony,REF-23396,2005,21,Vintage (20y+),Like New,80500.0,21896.0,Luxury (75K-200K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1004,IWC,Luxury,Portugieser Chronograph,REF-70217,2006,20,Vintage Adjacent (11-20y),Good,19000.0,5168.0,Mid (10K-30K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1005,Seiko,Accessible,Presage,REF-57400,1997,29,Vintage (20y+),Very Good,2300.0,626.0,Entry (<10K),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1006,Vacheron Constantin,Grand Complication,Overseas,REF-40512,1996,30,Vintage (20y+),Good,74100.0,20155.0,Premium (30K-75K),Private Seller,0,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1007,IWC,Luxury,Pilot Mark XVIII,REF-37460,2009,17,Vintage Adjacent (11-20y),Very Good,13100.0,3563.0,Mid (10K-30K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1008,Vacheron Constantin,Grand Complication,Traditionnelle,REF-42087,2015,11,Vintage Adjacent (11-20y),Unworn,72400.0,19693.0,Premium (30K-75K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1009,Breitling,Premium,Superocean,REF-99733,2003,23,Vintage (20y+),Fair,7700.0,2094.0,Entry (<10K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1010,Tudor,Accessible Luxury,Black Bay 58,REF-18675,2002,24,Vintage (20y+),Good,4200.0,1142.0,Entry (<10K),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1011,Seiko,Accessible,Astron,REF-94259,2023,3,Recent (3-5y),Good,2900.0,789.0,Entry (<10K),Dealer,1,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1012,Patek Philippe,Ultra Luxury,Calatrava,REF-86622,1999,27,Vintage (20y+),Like New,149300.0,40610.0,Luxury (75K-200K),Dealer,1,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1013,Seiko,Accessible,Astron,REF-74686,2007,19,Vintage Adjacent (11-20y),Very Good,800.0,218.0,Entry (<10K),Private Seller,0,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1014,Jaeger-LeCoultre,Grand Complication,Reverso,REF-65333,2022,4,Recent (3-5y),Like New,55800.0,15178.0,Premium (30K-75K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1015,IWC,Luxury,Pilot Mark XVIII,REF-11504,2014,12,Vintage Adjacent (11-20y),Fair,18300.0,4978.0,Mid (10K-30K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1016,Cartier,Luxury,Ballon Bleu,REF-66985,2019,7,Modern (6-10y),Like New,8700.0,2366.0,Entry (<10K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1017,Breitling,Premium,Navitimer,REF-33416,2018,8,Modern (6-10y),Good,12200.0,3318.0,Mid (10K-30K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1018,Tudor,Accessible Luxury,Heritage Chrono,REF-59009,2004,22,Vintage (20y+),Good,3000.0,816.0,Entry (<10K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1019,Tag Heuer,Accessible Luxury,Aquaracer,REF-57576,2024,2,Nearly New (0-2y),Unworn,4300.0,1170.0,Entry (<10K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1020,Audemars Piguet,Ultra Luxury,Royal Oak 15400,15400ST.OO.1220ST.01,2002,24,Vintage (20y+),Good,53600.0,14579.0,Premium (30K-75K),Private Seller,0,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1021,Jaeger-LeCoultre,Grand Complication,Polaris,REF-31643,2019,7,Modern (6-10y),Like New,55100.0,14987.0,Premium (30K-75K),Private Seller,0,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1022,Tag Heuer,Accessible Luxury,Aquaracer,REF-36365,2008,18,Vintage Adjacent (11-20y),Fair,6000.0,1632.0,Entry (<10K),Private Seller,0,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1023,IWC,Luxury,Aquatimer,REF-42493,2015,11,Vintage Adjacent (11-20y),Very Good,16600.0,4515.0,Mid (10K-30K),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1024,Omega,Premium,Constellation,REF-19305,1995,31,Vintage (20y+),Very Good,5400.0,1469.0,Entry (<10K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1025,Audemars Piguet,Ultra Luxury,Royal Oak 15400,15400ST.OO.1220ST.01,2023,3,Recent (3-5y),Unworn,187500.0,51000.0,Luxury (75K-200K),Dealer,1,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1026,Audemars Piguet,Ultra Luxury,Royal Oak Concept,REF-41850,1999,27,Vintage (20y+),Good,145500.0,39576.0,Luxury (75K-200K),Private Seller,0,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1027,Jaeger-LeCoultre,Grand Complication,Master Ultra Thin,REF-63883,2001,25,Vintage (20y+),Unworn,20000.0,5440.0,Mid (10K-30K),Private Seller,0,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1028,Tudor,Accessible Luxury,Heritage Chrono,REF-62772,1996,30,Vintage (20y+),Good,2400.0,653.0,Entry (<10K),Private Seller,0,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1029,Jaeger-LeCoultre,Grand Complication,Reverso,REF-34050,2002,24,Vintage (20y+),Like New,12100.0,3291.0,Mid (10K-30K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1030,Breitling,Premium,Navitimer,REF-82132,2022,4,Recent (3-5y),Fair,7700.0,2094.0,Entry (<10K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1031,Rolex,Luxury,Submariner Date,126610LN,1997,29,Vintage (20y+),Fair,21000.0,5712.0,Mid (10K-30K),Private Seller,0,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1032,Audemars Piguet,Ultra Luxury,Royal Oak Offshore,REF-44760,2023,3,Recent (3-5y),Unworn,311100.0,84619.0,Ultra Luxury (200K+),Dealer,1,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1033,Richard Mille,Ultra Luxury,RM 010,REF-73788,2017,9,Modern (6-10y),Fair,217700.0,59214.0,Ultra Luxury (200K+),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1034,Audemars Piguet,Ultra Luxury,Royal Oak Offshore,REF-51104,2001,25,Vintage (20y+),Fair,111300.0,30274.0,Luxury (75K-200K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1035,Rolex,Luxury,Sky-Dweller,REF-76562,2011,15,Vintage Adjacent (11-20y),Fair,14300.0,3890.0,Mid (10K-30K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1036,Tudor,Accessible Luxury,Black Bay 58,REF-25713,1997,29,Vintage (20y+),Very Good,3800.0,1034.0,Entry (<10K),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1037,Panerai,Luxury,Submersible,REF-78522,1996,30,Vintage (20y+),Very Good,14700.0,3998.0,Mid (10K-30K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1038,Seiko,Accessible,Presage,REF-27154,2001,25,Vintage (20y+),Good,1000.0,272.0,Entry (<10K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1039,Breitling,Premium,Superocean,REF-83792,2024,2,Nearly New (0-2y),Good,15600.0,4243.0,Mid (10K-30K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1040,Omega,Premium,Planet Ocean,REF-19016,2001,25,Vintage (20y+),Very Good,7100.0,1931.0,Entry (<10K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1041,Hublot,Luxury,Classic Fusion,REF-95717,2000,26,Vintage (20y+),Very Good,25500.0,6936.0,Mid (10K-30K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1042,Cartier,Luxury,Ballon Bleu,REF-44664,2004,22,Vintage (20y+),Fair,12100.0,3291.0,Mid (10K-30K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1043,Seiko,Accessible,Prospex,REF-54942,2018,8,Modern (6-10y),Very Good,3100.0,843.0,Entry (<10K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1044,Cartier,Luxury,Ballon Bleu,REF-16658,2022,4,Recent (3-5y),Like New,34900.0,9493.0,Premium (30K-75K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1045,Cartier,Luxury,Tank,REF-93507,2021,5,Recent (3-5y),Like New,29200.0,7942.0,Mid (10K-30K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1046,Patek Philippe,Ultra Luxury,Complications 5396,REF-29536,2012,14,Vintage Adjacent (11-20y),Good,73500.0,19992.0,Premium (30K-75K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1047,Tudor,Accessible Luxury,Pelagos,REF-57795,2013,13,Vintage Adjacent (11-20y),Very Good,2500.0,680.0,Entry (<10K),Dealer,1,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1048,Seiko,Accessible,Presage,REF-83385,2001,25,Vintage (20y+),Good,1300.0,354.0,Entry (<10K),Private Seller,0,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1049,Panerai,Luxury,Submersible,REF-33206,1999,27,Vintage (20y+),Fair,5000.0,1360.0,Entry (<10K),Dealer,1,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1050,Rolex,Luxury,GMT-Master II,126710BLRO,2018,8,Modern (6-10y),Fair,36000.0,9792.0,Premium (30K-75K),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1051,Richard Mille,Ultra Luxury,RM 055,REF-71694,2020,6,Modern (6-10y),Good,102100.0,27771.0,Luxury (75K-200K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1052,Audemars Piguet,Ultra Luxury,Royal Oak Offshore,REF-13101,2006,20,Vintage Adjacent (11-20y),Like New,106900.0,29077.0,Luxury (75K-200K),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1053,IWC,Luxury,Pilot Mark XVIII,REF-94080,2003,23,Vintage (20y+),Good,9500.0,2584.0,Entry (<10K),Private Seller,0,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1054,Cartier,Luxury,Ballon Bleu,REF-33405,2005,21,Vintage (20y+),Fair,13200.0,3590.0,Mid (10K-30K),Dealer,1,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1055,Rolex,Luxury,Datejust 41,126334,2014,12,Vintage Adjacent (11-20y),Very Good,44000.0,11968.0,Premium (30K-75K),Private Seller,0,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1056,IWC,Luxury,Aquatimer,REF-80575,2001,25,Vintage (20y+),Like New,6000.0,1632.0,Entry (<10K),Private Seller,0,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1057,Hublot,Luxury,Classic Fusion,REF-96951,1997,29,Vintage (20y+),Fair,30100.0,8187.0,Premium (30K-75K),Private Seller,0,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1058,Vacheron Constantin,Grand Complication,Patrimony,REF-48752,2011,15,Vintage Adjacent (11-20y),Like New,50700.0,13790.0,Premium (30K-75K),Dealer,1,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1059,Audemars Piguet,Ultra Luxury,Royal Oak Offshore,REF-90676,2016,10,Modern (6-10y),Fair,165400.0,44989.0,Luxury (75K-200K),Private Seller,0,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
