listing_id,brand,model,reference,price_aed,condition,year,seller_type,location,scraped_date,source
C24-UAE-1000,Cartier,Santos,REF-23434,4900.0,Good,1995,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1001,Panerai,Radiomir,REF-13478,15900.0,Unworn,1996,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1002,Vacheron Constantin,Traditionnelle,REF-10851,74500.0,Very Good,2017,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1003,Vacheron Constantin,Patrimony,REF-23396,80500.0,Like New,2005,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1004,IWC,Portugieser Chronograph,REF-70217,19000.0,Good,2006,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1005,Seiko,Presage,REF-57400,2300.0,Very Good,1997,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1006,VACHERON CONSTANTIN,Overseas,REF-40512,74100.0,Good,1996,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1007,IWC,Pilot Mark XVIII,REF-37460,13100.0,Very Good,2009,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1008,Vacheron Constantin,Traditionnelle,REF-42087,72400.0,Unworn,2015,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1009,Breitling,Superocean,REF-99733,7700.0,Fair,2003,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1010,Tudor,Black Bay 58,REF-18675,,Good,2002,Private Seller,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1011,Seiko,Astron,REF-94259,2900.0,Good,2023,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1012,Patek Philippe,Calatrava,REF-86622,149300.0,Like New,1999,Dealer,Ajman,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1013,Seiko,Astron,REF-74686,800.0,Very Good,2007,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1014,Jaeger-LeCoultre,Reverso,REF-65333,55800.0,Like New,2022,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1015,IWC,Pilot Mark XVIII,REF-11504,18300.0,Fair,2014,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1016,Cartier,Ballon Bleu,REF-66985,8700.0,Like New,2019,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1017,Breitling,Navitimer,REF-33416,12200.0,Good,2018,Dealer,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1018,Tudor,Heritage Chrono,REF-59009,3000.0,Good,2004,Dealer,Abu Dhabi,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1019,Tag Heuer,Aquaracer,REF-57576,4300.0,Unworn,2024,Dealer,Sharjah,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
C24-UAE-1020,Audemars Piguet,Royal Oak 15400,15400ST.OO.1220ST.01,53600.0,Good,2002,Private Seller,Dubai,2025-06-18,"Chrono24 UAE (simulated — site uses JS rendering, data schema mirrors live listings)"
